ID,Year,Width (mm),SEX,Year.no 
G.11.F,H,2.54,F,1
G.11.F,I,1.65,F,2
G.11.F,J,3.47,F,3
G.11.F,K,6.56,F,4
G.1.F,H,6.82,F,1
G.1.F,I,3.22,F,2
G.1.F,J,1.31,F,3
G.1.F,K,4.74,F,4
G.22.F,H,5.97,F,1
G.22.F,I,6.05,F,2
G.22.F,J,1.44,F,3
G.22.F,K,1.75,F,4
G.13.M,H,3.56,M,1
G.13.M,I,3.35,M,2
G.13.M,J,3.22,M,3
G.13.M,K,11.05,M,4
G.14.M,H,0.48,M,1
G.14.M,I,5.26,M,2
G.14.M,J,1.43,M,3
G.14.M,K,2.51,M,4
G.21.M,H,3.43,M,1
G.21.M,I,0.93,M,2
G.21.M,J,1.4,M,3
G.21.M,K,11.6,M,4
G.4.F,H,5.59,F,1
G.4.F,I,5.93,F,2
G.4.F,J,0.68,F,3
G.4.F,K,1.65,F,4
G.15.F,H,5.97,F,1
G.15.F,I,3.05,F,2
G.15.F,J,1.78,F,3
G.15.F,K,2.12,F,4
G.17.F,H,2.54,F,1
G.17.F,I,0.93,F,2
G.17.F,J,1.2,F,3
G.17.F,K,2.42,F,4
G.19.M,H,2.16,M,1
G.19.M,I,0.77,M,2
G.19.M,J,0.85,M,3
G.19.M,K,6.82,M,4
G.18.M,H,7.62,M,1
G.18.M,I,9.57,M,2
G.18.M,J,3.13,M,3
G.18.M,K,4.74,M,4
G.30.M,H,6.9,M,1
G.30.M,I,1.96,M,2
G.30.M,J,1.35,M,3
G.30.M,K,3.98,M,4
G.10.M,H,0.58,M,1
G.10.M,I,0.42,M,2
G.10.M,J,0.2,M,3
G.10.M,K,1.03,M,4
G.16.M,H,1.2,M,1
G.16.M,I,2.5,M,2
G.16.M,J,1.14,M,3
G.16.M,K,0.93,M,4
G.32.M,H,15.03,M,1
G.32.M,I,6.27,M,2
G.32.M,J,0.51,M,3
G.32.M,K,2.75,M,4
G.9.F,H,0.23,F,1
G.9.F,I,0.7,F,2
G.9.F,J,0.19,F,3
G.9.F,K,0.23,F,4
G.27.F,H,1.63,F,1
G.27.F,I,0.28,F,2
G.27.F,J,0.51,F,3
G.27.F,K,0.51,F,4
G.31.F,H,2.29,F,1
G.31.F,I,5.97,F,2
G.31.F,J,4.04,F,3
G.31.F,K,0.63,F,4